action_id,report_id,type,name,id,start,end
1001,16,watching channel,STAR PLUS IND,5,1.51029E+12,1.51029E+12
1002,16,watching channel,STAR PLUS EU,6,1.51029E+12,1.51029E+12
1003,16,watching channel,STAR UTSAV,7,1.51029E+12,1.51029E+12
1004,16,watching channel,COLORS HD,8,1.51029E+12,1.51029E+12
1005,16,watching channel,COLORS IND,9,1.51029E+12,1.51029E+12
1006,16,watching channel,COLORS UK,10,1.51029E+12,1.51029E+12
1007,16,watching channel,SONY TV HD,12,1.51029E+12,1.51029E+12
1008,16,watching channel,SONY TV IND,13,1.51029E+12,1.51029E+12
1009,16,watching channel,SONY TV UK,14,1.51029E+12,1.51029E+12
1010,16,watching channel,SONY MIX,15,1.51029E+12,1.51029E+12
1011,16,watching channel,SONY SAB,17,1.51029E+12,1.51029E+12
1012,16,watching channel,SONY SAB UK,18,1.51029E+12,1.51029E+12
1013,16,watching channel,SONY MAX HD,19,1.51029E+12,1.51029E+12
1014,16,watching channel,SONY MAX,20,1.51029E+12,1.51029E+12
1015,16,watching channel,SONY MAX UK,21,1.51029E+12,1.51029E+12
1016,17,viewing tv guide,horizontal,,1.51024E+12,1.51024E+12
1017,17,watching channel,STAR UTSAV,7,1.51024E+12,1.51024E+12
1018,17,watching channel,STAR PLUS EU,6,1.51024E+12,1.51024E+12
1019,17,watching channel,STAR PLUS IND,5,1.51024E+12,1.51024E+12
1020,17,watching channel,STAR PLUS HD,4,1.51024E+12,1.51024E+12
1021,17,watching channel,TEST,1222,1.51024E+12,1.51024E+12
1022,17,watching channel,Red FM 93.5,1220,1.51024E+12,1.51024E+12
1023,17,watching channel,OLD PATH ENGLISH,1259,1.51024E+12,1.51024E+12
1024,17,watching channel,ANG DATING DAAN,1258,1.51024E+12,1.51024E+12
1025,17,watching channel,CNN PHILIPPINES,1007,1.51024E+12,1.51024E+12
1026,17,watching channel,TELEBRUXELLE,1006,1.51024E+12,1.51024E+12
1027,17,watching channel,ANTENNE REUNION,1004,1.51024E+12,1.51024E+12
1028,17,watching channel,MANGAS TV,1003,1.51024E+12,1.51024E+12
1029,17,watching channel,AB1,1002,1.51024E+12,1.51024E+12
1030,17,watching channel,MTA FRENCH,1001,1.51024E+12,1.51024E+12
1031,17,watching channel,BEIN SPORTS 3-HD,1000,1.51024E+12,1.51024E+12
1032,17,watching channel,BEIN SPORTS 2-HD,999,1.51024E+12,1.51024E+12
1033,17,watching channel,BEIN SPORTS 1-HD,998,1.51024E+12,1.51024E+12
1034,17,watching channel,TELETOON+,986,1.51024E+12,1.51024E+12
1035,17,watching channel,BEIN SPORTS 1-HD,998,1.51024E+12,1.51024E+12
1036,17,watching channel,BEIN SPORTS 2-HD,999,1.51024E+12,1.51024E+12
1037,17,watching channel,BEIN SPORTS 1-HD,998,1.51024E+12,1.51024E+12
